id,store_name,store_email,department,income,date_measured,country
910,Hecla Mining Company,mtheodorisp9@upenn.edu,Clothing,$12029179.81,22-11-2002,United Kingdom
911,Ares Management L.P.,,Tools,$53572781.98,5-5-2006,United Kingdom
912,"Amphastar Pharmaceuticals, Inc.",,Clothing,$57608397.74,6-1-2005,Unknown
913,"Colony NorthStar, Inc.",rgosforthpc@infoseek.co.jp,Automotive,$60378509.39,12-5-2006,United States
914,Nokia Corporation,philandpd@wufoo.com,Baby,$55949788.90,10-2-1993,United Kingdom
915,Aramark,,Clothing,$62236669.52,1-12-2013,South Africa
916,"Revlon, Inc.",,Movies,$52326577.20,1-4-2005,United Kingdom
917,Grupo Financiero Santander Mexico S.A. B. de C.V.,,Games,$88403182.55,22-8-1993,United Kingdom
918,L.S. Starrett Company (The),,Jewelry,$67316538.63,1-5-2005,United Kingdom
919,Universal Technical Institute Inc,lmacscheriepi@about.com,Beauty,$96889582.31,9-3-1991,United Kingdom
920,"Dorchester Minerals, L.P.",,Home,$20255731.46,10-10-1994,South Africa
921,"China Lodging Group, Limited",,Sports,$70778854.36,17-5-2009,South Africa
922,Chesapeake Energy Corporation,,Kids,$78314662.05,2-12-2009,United Kingdom
923,First Trust Rising Dividend Achievers ETF,adinckepm@vistaprint.com,Garden,$38848600.00,20-9-2011,South Africa
924,"Endurance International Group Holdings, Inc.",,Shoes,$75414900.91,15-9-2001,Unknown
925,KB Financial Group Inc,,Kids,$97943564.09,16-10-2000,United Kingdom
926,SVB Financial Group,,Automotive,$79276228.33,15-4-1988,United Kingdom
927,Penn West Petroleum Ltd,kdickenpq@networkadvertising.org,Health,$36421278.80,8-5-2010,South Africa
928,PAR Technology Corporation,bcrewdsonpr@ameblo.jp,Garden,$97576318.53,23-6-2007,United Kingdom
929,BioAmber Inc.,kughettips@blogs.com,Outdoors,$18644416.54,4-4-2011,Unknown
930,INVESCO MORTGAGE CAPITAL INC,,Sports,$18507424.22,1-2-1985,United States
931,"Genesis Healthcare, Inc.",imarrowspu@senate.gov,Automotive,$71879754.85,18-7-2008,United Kingdom
932,Euronav NV,bfaillpv@mac.com,Books,$40478280.83,18-10-2006,United Kingdom
933,Hillenbrand Inc,,Computers,$5268921.08,5-4-1995,United States
934,Royal Bank Of Canada,oribeiropx@examiner.com,Outdoors,$72547027.00,5-11-1989,United Kingdom
935,"TriNet Group, Inc.",fkalaherpy@51.la,Grocery,$6318945.83,1-12-1999,United Kingdom
936,"China Ceramics Co., Ltd.",rbarfittpz@altervista.org,Movies,$4803166.00,27-10-1995,South Africa
937,DISH Network Corporation,,Books,$2248202.22,20-7-1994,United States
938,"Asta Funding, Inc.",jdrydaleq1@ifeng.com,Clothing,$28738247.73,12-3-2001,United States
939,"Four Corners Property Trust, Inc.",,Baby,$75133751.69,17-2-2007,United States
940,Constellium N.V.,,Books,$5784812.45,19-4-2001,United States
941,Western Asset Corporate Loan Fund Inc,gsimoneschiq4@altervista.org,Jewelry,$59720516.56,5-1-1989,United States
942,Unisys Corporation,,Clothing,$92831512.55,27-3-1989,South Africa
943,Adaptimmune Therapeutics plc,,Games,$24997117.64,10-7-1994,United Kingdom
944,AC Immune SA,pcrostonq7@nydailynews.com,Electronics,$18353129.33,24-10-2008,United States
945,Insulet Corporation,dbatemanq8@hao123.com,Health,$91245535.42,23-4-1996,United States
946,First Trust NASDAQ Cybersecurity ETF,gmcmeekanq9@1688.com,Movies,$31234980.51,16-5-1992,United Kingdom
947,The Gabelli Healthcare & Wellness Trust,,Kids,$84916025.73,23-10-2006,South Africa
948,"Blackbaud, Inc.",,Garden,$87768385.58,9-4-2012,United States
949,Immuron Limited,rfilyakovqc@google.co.jp,Home,$46266654.63,4-5-1998,Unknown
950,M&T Bank Corporation,,Health,$62088139.09,23-3-1997,South Africa
951,Axalta Coating Systems Ltd.,,Industrial,$34307127.67,16-9-1997,United Kingdom
952,MGM Growth Properties LLC,,Automotive,$511910.48,16-5-2005,Unknown
953,Diana Shipping inc.,,Beauty,$33214994.31,15-11-1992,United States
954,"Monarch Casino & Resort, Inc.",,Computers,$19720283.75,17-3-1997,Unknown
955,"Just Energy Group, Inc.",hchaplainqi@live.com,Jewelry,$33829146.25,14-12-2002,United Kingdom
956,Enerplus Corporation,kdaffeyqj@wisc.edu,Kids,$46442967.53,26-9-1985,South Africa
957,Cross Timbers Royalty Trust,,Health,$82730395.57,19-9-2013,South Africa
958,"Triumph Bancorp, Inc.",ndineenql@altervista.org,Kids,$30435107.97,25-9-1995,South Africa
959,Public Storage,dmiguelqm@ftc.gov,Tools,$43107142.95,7-2-2000,United Kingdom
960,Medley Capital Corporation,agautreyqn@independent.co.uk,Industrial,$5866408.64,4-10-1995,United Kingdom
961,Itau Unibanco Banco Holding SA,,Industrial,$37805142.58,12-8-2008,United Kingdom
962,"Computer Task Group, Incorporated",,,$810455.00,4-4-2004,South Africa
963,Vanguard Russell 3000 ETF,,Home,$71626580.47,24-4-1997,United Kingdom
964,Entravision Communications Corporation,ltookeqr@about.com,Sports,$20491447.35,22-1-1996,South Africa
965,Euroseas Ltd.,,Grocery,$18410035.31,7-3-1986,South Africa
966,V.F. Corporation,dbeverqt@boston.com,Garden,$94589469.71,9-5-2012,United Kingdom
967,"Monster Digital, Inc.",kwalfordqu@paginegialle.it,Kids,$38214822.97,10-9-1993,United Kingdom
968,Sequans Communications S.A.,,Clothing,$66342182.74,16-12-1992,South Africa
969,Seaspan Corporation,,Movies,$61399292.21,2-4-1993,United Kingdom
970,"MMA Capital Management, LLC",melfeqx@accuweather.com,Movies,$57032169.88,20-11-2010,United Kingdom
971,"The Hackett Group, Inc.",gsellickqy@cocolog-nifty.com,Shoes,$22834254.24,8-4-2003,United Kingdom
972,"Donaldson Company, Inc.",tarnholtzqz@bizjournals.com,Industrial,$50251927.87,4-11-2003,United States
973,Trimble Inc.,,Beauty,$20782867.80,2-3-2008,Unknown
974,Griffon Corporation,,Music,$58685748.45,24-8-1994,United Kingdom
975,Seaspan Corporation,,Tools,$50810681.98,24-10-2002,United Kingdom
976,Virtus Global Multi-Sector Income Fund,ebrunir3@gizmodo.com,Automotive,$14984168.34,24-2-2003,Unknown
977,SL Green Realty Corporation,efairbracer4@linkedin.com,Kids,$5502901.46,2-9-1991,United Kingdom
978,"TJX Companies, Inc. (The)",,Movies,$99948228.44,3-4-2000,United Kingdom
979,iStar Financial Inc.,,Beauty,$59749857.85,27-9-2012,United Kingdom
980,Yamana Gold Inc.,,Books,$76839730.60,9-6-1993,United Kingdom
981,Enbridge Energy Management LLC,,Tools,$35505179.38,27-11-1998,United Kingdom
982,"American International Group, Inc.",,Outdoors,$64794322.43,5-6-2009,United Kingdom
983,"Axon Enterprise, Inc.",,Jewelry,$73882233.87,16-1-1993,United Kingdom
984,"Medical Properties Trust, Inc.",,Home,$54576288.61,11-12-2007,United Kingdom
985,"support.com, Inc.",,Computers,$90719040.97,19-7-2006,South Africa
986,"Mota Group, Inc.",,Baby,$81671749.32,4-7-1996,United Kingdom
987,"Shake Shack, Inc.",,Kids,$60853987.50,23-8-1992,United Kingdom
988,"Ares Dynamic Credit Allocation Fund, Inc.",fbrocklebankrf@sitemeter.com,Health,$34762898.80,15-12-1989,South Africa
989,Univest Corporation of Pennsylvania,,Clothing,$65563062.59,19-4-1999,United States
990,Madison Covered Call & Equity Strategy Fund,nbaikerh@list-manage.com,Electronics,$85704421.13,16-7-1993,United Kingdom
991,Central Garden & Pet Company,,Sports,$76435564.22,14-2-2012,United Kingdom
992,"Atlantic Capital Bancshares, Inc.",mgribbellrj@symantec.com,Clothing,$83355366.27,13-4-2001,South Africa
993,"United Natural Foods, Inc.",,Books,$71241644.37,9-9-2009,United States
994,Monotype Imaging Holdings Inc.,,Outdoors,$57381486.35,20-2-1999,United Kingdom
995,"James River Group Holdings, Ltd.",,Electronics,$99210254.05,22-4-2005,Unknown
996,Columbia Sportswear Company,cschooleyrn@sohu.com,Automotive,$52593924.99,7-10-2005,South Africa
997,WisdomTree Interest Rate Hedged High Yield Bond Fund,,Electronics,$60473676.46,19-12-1990,United States
998,Tortoise Energy Infrastructure Corporation,cbeardshallrp@ow.ly,Health,$1697293.64,25-4-2009,United States
999,Qwest Corporation,,Beauty,$30091863.73,13-1-2011,United Kingdom
1000,SLM Corporation,,Kids,$66106336.48,1-12-2011,United Kingdom
